0.95007	0.93457	1.0045	0.95087
0.99286	0.95909	0.77187	1.0219
1.0942	1.0561	1.1031	1.0481
1.0071	1.0341	1.0523	1.0089
1.0149	1.072	0.98793	0.99109
0.84947	0.96593	0.99546	0.97839
0.89976	1.0271	1.0639	1.0529
0.77374	1.0085	0.96987	1.0571
0.85626	1.0615	0.66373	0.95522
0.46652	0.82124	0.79069	0.86744
0.39772	0.79774	0.70087	0.91616
0.34165	0.75477	0.60354	0.88235
0.1691	0.53365	0.51987	0.76397
0.029639	0.40667	0.52407	0.63246
0.13559	0.37271	0.39926	0.59268
0.088322	0.26105	0.29581	0.47792
0.104	0.2317	0.24328	0.32622
0.080863	0.16168	0.218	0.30813
0.029976	0.10076	0.15161	0.23314
0.018314	0.041719	0.1612	0.17431
-0.0043319	0.0044389	0.093165	0.11261
0.0044586	0.015034	0.13449	0.1382
-0.0095873	0.010351	0.1158	0.11895
-0.021864	0.0059475	0.11273	0.12439
-0.024991	0.0047646	0.10208	0.11309
-0.022078	0.005308	0.093915	0.11473
0.0049033	0.01425	0.078459	0.10514
0.013197	0.018321	0.040644	0.11839
-0.0025013	0	0.024802	0.053763
0.0093752	0.011239	-0.021847	0.020668
-0.0045094	0.0017792	-0.019199	0
-0.00064146	0.011153	-0.014069	-0.020357
0.01101	0.0026853	-0.027076	-0.0080113
-0.0041049	-0.0025443	0.0067529	-0.012231
0	-0.0054526	0	-0.0036737
0.0085859	-0.011154	0.0080459	0.018862
0.0052858	-0.0012036	0.055042	0.054767
